,node1,node2,cosine_score,jaccard_score,lhn1_score,co-occurrence_count
0,2480,3236,0.00,0.00,0.00,2
1,3236,616,0.00,0.00,0.00,2
2,616,2018,0.00,0.00,0.00,1
3,2018,616,0.00,0.00,0.00,1
4,616,3236,0.00,0.00,0.00,1
5,3236,2480,0.00,0.00,0.00,1
6,2480,3236,0.00,0.00,0.00,2
7,3236,616,0.00,0.00,0.00,2
8,616,571,0.00,0.00,0.00,1
9,571,697,0.09,0.03,0.01,1
10,697,469,0.14,0.07,0.01,1
11,469,633,0.18,0.08,0.03,1
12,633,469,0.18,0.08,0.03,1
13,469,22,0.00,0.00,0.00,1
14,22,899,0.22,0.10,0.05,1
15,899,390,0.07,0.01,0.01,1
16,390,525,0.08,0.02,0.00,1
17,525,364,0.21,0.08,0.01,1
18,364,439,0.52,0.51,0.02,1
19,439,747,0.24,0.11,0.01,1
20,747,805,0.31,0.25,0.03,1
21,805,698,0.00,0.00,0.00,1
22,698,572,0.30,0.14,0.02,1
23,572,697,0.19,0.11,0.01,1
24,697,471,0.04,0.03,0.00,1
25,471,566,0.14,0.06,0.01,1
26,566,152,0.00,0.00,0.00,1
27,152,573,0.00,0.00,0.00,1
28,573,572,0.11,0.09,0.01,1
29,572,698,0.30,0.14,0.02,1
30,698,694,0.10,0.05,0.01,1
31,694,184,0.00,0.00,0.00,1
32,184,1249,0.00,0.00,0.00,1
33,1249,522,0.00,0.00,0.00,1
34,522,54,0.20,0.10,0.01,1
35,54,422,0.21,0.20,0.02,1
36,422,28,0.55,0.53,0.04,1
37,28,422,0.55,0.53,0.04,1
38,422,1899,0.00,0.00,0.00,1
39,1899,1898,0.00,0.00,0.00,1
40,1898,1899,0.00,0.00,0.00,1
41,1899,422,0.00,0.00,0.00,1
42,422,469,0.27,0.20,0.03,1
43,469,586,0.16,0.08,0.03,1
44,586,443,0.52,0.29,0.13,3
45,443,443,1.00,1.00,0.33,4
46,443,443,1.00,1.00,0.33,4
47,443,586,0.52,0.29,0.13,3
48,586,443,0.52,0.29,0.13,3
49,443,586,0.52,0.29,0.13,3
50,586,443,0.52,0.29,0.13,3
51,443,443,1.00,1.00,0.33,4
52,443,443,1.00,1.00,0.33,4
53,443,60,0.82,0.67,0.33,1
54,60,586,0.32,0.14,0.10,1
55,586,60,0.32,0.14,0.10,1
56,60,443,0.82,0.67,0.33,1
57,443,586,0.52,0.29,0.13,3
58,586,422,0.23,0.13,0.03,1
