,node1,node2,cosine_score,jaccard_score,lhn1_score,co-occurrence_count
0,2218,2021,0.00,0.00,0.00,1
1,2021,2428,0.00,0.00,0.00,1
2,2428,2042,0.00,0.00,0.00,1
3,2042,2428,0.00,0.00,0.00,1
4,2428,1860,0.00,0.00,0.00,1
5,1860,683,0.00,0.00,0.00,1
6,683,635,0.29,0.14,0.03,1
7,635,430,0.40,0.21,0.01,1
8,430,89,0.10,0.03,0.01,1
9,89,430,0.10,0.03,0.01,1
10,430,223,0.12,0.03,0.01,1
11,223,430,0.12,0.03,0.01,1
12,430,1698,0.07,0.03,0.01,1
13,1698,2597,0.00,0.00,0.00,1
14,2597,2256,0.00,0.00,0.00,3
15,2256,2597,0.00,0.00,0.00,3
16,2597,2256,0.00,0.00,0.00,3
17,2256,2597,0.00,0.00,0.00,3
18,2597,2256,0.00,0.00,0.00,3
19,2256,2597,0.00,0.00,0.00,3
20,2597,1698,0.00,0.00,0.00,1
21,1698,686,0.11,0.05,0.01,1
22,686,634,0.19,0.09,0.02,1
23,634,430,0.25,0.10,0.02,1
24,430,635,0.40,0.21,0.01,1
25,635,442,0.00,0.00,0.00,1
26,442,1908,0.00,0.00,0.00,1
27,1908,1647,0.00,0.00,0.00,1
28,1647,1684,0.00,0.00,0.00,1
29,1684,1636,0.00,0.00,0.00,1
30,1636,245,0.00,0.00,0.00,1
31,245,172,0.00,0.00,0.00,1
32,172,245,0.00,0.00,0.00,1
33,245,1636,0.00,0.00,0.00,1
34,1636,928,0.24,0.14,0.06,1
35,928,983,0.41,0.18,0.08,1
36,983,1002,0.25,0.10,0.06,1
37,1002,1735,0.41,0.33,0.17,1
38,1735,983,0.20,0.09,0.04,1
39,983,1302,0.00,0.00,0.00,1
40,1302,983,0.00,0.00,0.00,1
41,983,887,0.25,0.10,0.06,1
42,887,1531,0.35,0.17,0.12,1
43,1531,66,0.00,0.00,0.00,1
44,66,2310,0.00,0.00,0.00,1
45,2310,2607,0.00,0.00,0.00,1
46,2607,2369,0.00,0.00,0.00,1
47,2369,426,0.00,0.00,0.00,1
48,426,303,0.00,0.00,0.00,1
49,303,2091,0.00,0.00,0.00,1
50,2091,585,0.00,0.00,0.00,1
51,585,1275,0.38,0.38,0.05,1
52,1275,344,0.19,0.10,0.01,1
53,344,2441,0.00,0.00,0.00,1
54,2441,2585,0.00,0.00,0.00,1
55,2585,1263,0.00,0.00,0.00,1
56,1263,1234,0.00,0.00,0.00,1
57,1234,977,0.00,0.00,0.00,1
58,977,1234,0.00,0.00,0.00,1
59,1234,937,0.00,0.00,0.00,1
60,937,1234,0.00,0.00,0.00,1
61,1234,13,0.00,0.00,0.00,1
62,13,482,0.29,0.14,0.08,1
63,482,551,0.00,0.00,0.00,2
64,551,482,0.00,0.00,0.00,1
65,482,551,0.00,0.00,0.00,2
66,551,2215,0.00,0.00,0.00,1
67,2215,2650,0.00,0.00,0.00,1
68,2650,2215,0.00,0.00,0.00,1
69,2215,675,0.15,0.14,0.02,2
70,675,344,0.27,0.13,0.02,1
71,344,2339,0.10,0.03,0.01,1
72,2339,675,0.22,0.14,0.05,1
73,675,2215,0.15,0.14,0.02,2
74,2215,1877,0.00,0.00,0.00,1
75,1877,2215,0.00,0.00,0.00,1
76,2215,675,0.15,0.14,0.02,2
77,675,2215,0.15,0.14,0.02,2
78,2215,344,0.07,0.03,0.01,1
79,344,1622,0.08,0.03,0.01,1
80,1622,1322,0.00,0.00,0.00,1
81,1322,1027,0.00,0.00,0.00,1
82,1027,56,0.00,0.00,0.00,1
83,56,967,0.00,0.00,0.00,1
84,967,306,0.11,0.07,0.01,1
85,306,552,0.13,0.04,0.01,1
86,552,173,0.05,0.02,0.00,1
87,173,565,0.20,0.06,0.01,1
88,565,566,0.24,0.11,0.00,1
89,566,321,0.00,0.00,0.00,1
90,321,1192,0.00,0.00,0.00,1
91,1192,2473,0.00,0.00,0.00,1
92,2473,2551,0.00,0.00,0.00,1
93,2551,523,0.00,0.00,0.00,1
94,523,508,0.00,0.00,0.00,1
95,508,417,0.35,0.17,0.12,1
96,417,508,0.35,0.17,0.12,1
97,508,523,0.00,0.00,0.00,1
98,523,540,0.00,0.00,0.00,1
